Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S154DE36,Bộ lót trơn dây đan buộc ngực đen 36,3,855179,0,0,855179,336147,519032, 60.69% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM72BH36,Bộ lót điểm ren không gọng đệm dày màu be hồng size 36,6,1675617,2,-635706,1039911,521991,517920, 49.80% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S040DE34,Bộ lót ren không gọng đệm vừa dây chéo đen 34,3,941639,0,0,941639,423963,517676, 54.98% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S063T34,Bộ lót ren gọng xuyên thấu thuê hoa văn trắng 34,4,874641,0,0,874641,357866,516775, 59.08% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S020G34,Bộ lót su ren không gọng đệm mỏng ghi 34,7,909819,0,0,909819,393407,516412, 56.76% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S151BE36,bộ đồ lót trơn một màu không gọng be 36,2,700000,0,0,700000,184006,515994, 73.71% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S122HP36,Bộ lót chéo ngực không gọng đệm vừa hồng phấn 36,2,700000,0,0,700000,187522,512478, 73.21% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S125HP36,Bộ lót kẻ đệm vừa không gọng quần nơ hồng phấn 36,2,700000,0,0,700000,189623,510377, 72.91% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S111HD34,Bộ lót cotton không gọng đệm dày viền lượn sóng dây ba hồng đậm 34,2,700000,0,0,700000,189854,510146, 72.88% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S150T36,Bộ Lót trơn viền sóng khuy cài trước không gọn trắng 36,2,665000,0,0,665000,155220,509780, 76.66% 
